__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_18_repetition_4,DONE,richards/original.py,original,4.295,4.123,79.642,99.53,1672,1084,25661440,25661440
run_19_repetition_4,DONE,richards/original.py,numba,1.275,0.092,69.048,89.091,1007,191,147140608,147140608
run_20_repetition_4,DONE,richards/original.py,cython,5.612,5.293,83.217,100.0,1881,1502,25423872,25387008
run_21_repetition_4,DONE,spectral_norm/original.py,original,9.457,9.463,89.363,98.234,3154,2802,76656640,76656640
run_22_repetition_4,DONE,spectral_norm/original.py,numba,1.792,0.129,80.287,100.0,1558,287,356077568,439226368
run_23_repetition_4,DONE,spectral_norm/original.py,cython,8.182,8.351,87.146,98.967,2698,2281,80027648,80027648
run_0_repetition_5,DONE,binary_trees/original.py,original,3.908,3.909,85.756,99.135,2261,1958,442634240,478965760
run_1_repetition_5,DONE,binary_trees/original.py,numba,9.215,0.903,95.677,100.0,7703,780,2925805568,1679802368
run_2_repetition_5,DONE,binary_trees/original.py,cython,2.825,2.269,80.872,100.0,1539,1483,445190144,478785536
run_3_repetition_5,DONE,fannkuch/original.py,original,1.449,1.122,64.065,100.0,855,400,25264128,25124864
run_4_repetition_5,DONE,fannkuch/original.py,numba,1.543,0.107,72.498,100.0,1121,172,151519232,151519232
run_5_repetition_5,DONE,fannkuch/original.py,cython,1.576,0.655,56.865,96.739,760,419,25485312,25485312
run_6_repetition_5,DONE,insertionsort/original.py,original,1.983,1.313,58.072,97.674,760,799,16617472,16617472
run_7_repetition_5,DONE,insertionsort/original.py,numba,2.015,0.566,79.628,100.0,1520,362,147886080,147886080
run_8_repetition_5,DONE,insertionsort/original.py,cython,1.842,1.831,64.809,100.0,912,533,16789504,16789504
run_9_repetition_5,DONE,mandlebrot/original.py,original,2.012,2.093,67.102,100.0,946,552,13352960,13062144
run_10_repetition_5,DONE,mandlebrot/original.py,numba,1.068,0.147,71.676,90.738,1140,249,146731008,146731008
run_11_repetition_5,DONE,mandlebrot/original.py,cython,1.455,1.529,54.579,100.0,779,477,13516800,13516800
run_12_repetition_5,DONE,nbody/original.py,original,4.179,4.516,78.453,99.259,1520,1331,9924608,9924608
run_13_repetition_5,DONE,nbody/original.py,numba,1.446,0.169,73.945,97.895,1159,267,152715264,152715264
run_14_repetition_5,DONE,nbody/original.py,cython,5.084,5.151,80.606,100.0,1482,1350,10661888,10661888
run_15_repetition_5,DONE,recur_matrix_multiplication/original.py,original,2.929,3.119,75.734,100.0,1273,1122,9912320,10108928
run_16_repetition_5,DONE,recur_matrix_multiplication/original.py,numba,3.666,1.329,88.449,100.0,2451,533,151269376,151269376
run_17_repetition_5,DONE,recur_matrix_multiplication/original.py,cython,1.475,1.431,56.095,100.0,759,495,24920064,25198592
run_18_repetition_5,DONE,richards/original.py,original,4.565,4.056,81.146,98.522,1615,1084,25767936,25747456
run_19_repetition_5,DONE,richards/original.py,numba,1.167,0.077,71.359,96.842,1064,172,147263488,147263488
run_20_repetition_5,DONE,richards/original.py,cython,6.294,5.466,82.561,98.987,1805,1483,25735168,25272320
run_21_repetition_5,DONE,spectral_norm/original.py,original,8.638,10.073,90.527,100.0,3116,2555,77959168,77959168
run_22_repetition_5,DONE,spectral_norm/original.py,numba,1.77,0.222,79.598,95.417,1501,211,353230848,440147968
run_23_repetition_5,DONE,spectral_norm/original.py,cython,8.108,8.656,89.262,99.482,2850,2289,79376384,79376384
run_0_repetition_6,DONE,binary_trees/original.py,original,4.388,3.948,86.122,98.812,2147,1902,442109952,479133696
run_1_repetition_6,DONE,binary_trees/original.py,numba,8.35,0.987,95.663,96.34,7608,1008,2969120768,4507873280
run_2_repetition_6,DONE,binary_trees/original.py,cython,2.871,2.433,79.528,99.189,1463,1389,444772352,471638016
run_3_repetition_6,DONE,fannkuch/original.py,original,1.942,0.77,61.292,97.403,760,609,25051136,25051136
run_4_repetition_6,DONE,fannkuch/original.py,numba,1.573,0.125,71.366,100.0,1065,191,151449600,151449600
run_5_repetition_6,DONE,fannkuch/original.py,cython,1.53,0.939,56.173,94.737,665,343,25513984,25448448
run_6_repetition_6,DONE,insertionsort/original.py,original,2.011,1.394,61.043,100.0,779,647,16240640,16494592
run_7_repetition_6,DONE,insertionsort/original.py,numba,2.532,0.579,82.642,96.676,1805,343,147873792,147873792
